DATE,COPOP,
2019/10/1,5778.27025,
2019/11/1,5780.4685,
2019/12/1,5782.66675,
2020/1/1,5784.865,2.202666667
2020/2/1,5787.067667,
2020/3/1,5789.270333,
2020/4/1,5791.473,
2020/5/1,5793.675667,
2020/6/1,5795.878333,
2020/7/1,5798.081,
2020/8/1,5800.283667,
2020/9/1,5802.486333,
2020/10/1,5804.689,
2020/11/1,5806.891667,
2020/12/1,5809.094333,
2021/1/1,5811.297,2.38575
2021/2/1,5813.68275,
2021/3/1,5816.0685,
2021/4/1,5818.45425,
2021/5/1,5820.84,
2021/6/1,5823.22575,
2021/7/1,5825.6115,
2021/8/1,5827.99725,
2021/9/1,5830.383,
2021/10/1,5832.76875,
2021/11/1,5835.1545,
2021/12/1,5837.54025,
2022/1/1,5839.926,6.1165
2022/2/1,5846.0425,
2022/3/1,5852.159,
2022/4/1,5858.2755,
2022/5/1,5864.392,
2022/6/1,5870.5085,
2022/7/1,5876.625,
2022/8/1,5882.7415,
2022/9/1,5888.858,
2022/10/1,5894.9745,
2022/11/1,5901.091,
2022/12/1,5907.2075,
2023/1/1,5913.324,
