"Series Key",ELEC.GEN.COW-CO-99.M,"Series Key",ELEC.GEN.NG-CO-99.M,"Series Key",ELEC.GEN.HYC-CO-99.M,"Series Key",ELEC.GEN.WND-CO-99.M
"Series Name","ELEC.GEN.COW-CO-99.M, monthly","Series Name","ELEC.GEN.NG-CO-99.M, monthly","Series Name","ELEC.GEN.HYC-CO-99.M, monthly","Series Name","ELEC.GEN.WND-CO-99.M, monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",202301,"Start Date",202301,"Start Date",202301,"Start Date",202301
"End Date",200101,"End Date",200101,"End Date",200101,"End Date",200101
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

201605,2160.67563,201605,1033.77353,201605,147.51731,201605,737.67419
201604,1962.99127,201604,1192.58915,201604,114.86442,201604,864.21319
201603,2134.44427,201603,996.76508,201603,221.82985,201603,940.56797
201602,2169.32053,201602,855.15096,201602,210.96322,201602,1001.0701
201601,2749.65046,201601,1024.36364,201601,222.37504,201601,781.65457
201512,2829.15867,201512,1103.22765,201512,184.28953,201512,871.04657
201511,2146.70972,201511,1311.40666,201511,13.55711,201511,657.17687
201510,2094.99324,201510,1069.04113,201510,131.05409,201510,668.37833
201509,2562.63692,201509,1253.84959,201509,122.31616,201509,473.1956
201508,3061.26812,201508,1142.31257,201508,117.42898,201508,557.57913
201507,3012.04336,201507,1168.7792,201507,168.63933,201507,447.35778
201506,2822.56297,201506,1001.40493,201506,251.51504,201506,424.56306
201505,2511.05778,201505,601.01804,201505,140.69569,201505,630.26085
201504,2267.53572,201504,744.20109,201504,35.45108,201504,667.95752
201503,2673.4549,201503,754.52381,201503,116.62265,201503,684.07654
201502,2678.09082,201502,654.80078,201502,135.36433,201502,628.27218
201501,2881.38249,201501,839.18441,201501,203.22701,201501,765.41458
201412,2704.16065,201412,1099.77354,201412,88.61692,201412,660.0784
201411,2283.29508,201411,1125.49654,201411,9.12261,201411,810.16328
201410,2330.43063,201410,1133.91843,201410,47.99875,201410,633.16407
201409,2587.55929,201409,1104.52229,201409,160.3388,201409,516.56593
201408,3228.39852,201408,1052.76398,201408,74.81261,201408,369.06715
201407,3306.91766,201407,1237.12029,201407,171.00337,201407,418.38103
201406,2651.49081,201406,993.06576,201406,185.95272,201406,570.71996
201405,2493.84642,201405,999.87349,201405,222.8325,201405,598.63963
201404,2445.68004,201404,630.70098,201404,213.57978,201404,753.47666
201403,2391.50033,201403,1024.82746,201403,219.98883,201403,685.05064
201402,2947.52885,201402,775.89913,201402,188.5941,201402,550.19415
201401,3174.04061,201401,775.84638,201401,186.95993,201401,803.11311
201312,2986.60502,201312,1058.86038,201312,89.11923,201312,705.53595
201311,2770.34436,201311,673.20947,201311,13.51457,201311,623.90958
201310,2563.37799,201310,660.46307,201310,14.18101,201310,661.79273
201309,2396.75925,201309,1138.52012,201309,54.142,201309,543.44121
201308,3253.87889,201308,1207.84859,201308,29.91471,201308,380.93461
201307,3107.33459,201307,1267.89056,201307,128.20216,201307,504.72643
201306,2737.53976,201306,1069.92127,201306,163.16675,201306,587.64443
201305,2767.49388,201305,708.63046,201305,155.57412,201305,569.79546
201304,2617.09954,201304,665.40064,201304,115.31339,201304,555.24567
201303,2663.22838,201303,844.71214,201303,143.29064,201303,687.65252
201302,2728.07522,201302,606.13352,201302,142.24374,201302,713.7736
201301,3111.69995,201301,807.21429,201301,164.20971,201301,669.26801
201212,3184.52375,201212,690.21804,201212,89.2734,201212,671.75644
201211,2743.21641,201211,716.56928,201211,12.84581,201211,494.70573
201210,3046.36607,201210,464.20554,201210,182.76064,201210,478.20497
201209,2776.28605,201209,921.01898,201209,156.84678,201209,344.91277
201208,3173.82785,201208,1239.53343,201208,170.10127,201208,432.49614
201207,3430.93732,201207,1327.59251,201207,165.31447,201207,346.97889
201206,3001.46583,201206,1032.74818,201206,139.75676,201206,489.30995
201205,2446.90585,201205,1029.80562,201205,158.47461,201205,426.25817
201204,2415.07491,201204,720.52547,201204,101.71026,201204,551.37037
201203,2688.96369,201203,760.31565,201203,134.29688,201203,559.54199
201202,2774.99867,201202,778.89617,201202,72.15151,201202,544.09426
201201,2838.45376,201201,843.01613,201201,113.67659,201201,629.01358
201112,2909.96084,201112,969.15847,201112,18.32532,201112,555.88993
201111,2589.83741,201111,874.21613,201111,25.95828,201111,550.64777
201110,2718.42567,201110,715.01361,201110,224.25057,201110,506.89174
201109,2908.86983,201109,591.66697,201109,190.60638,201109,331.77064
201108,3574.89704,201108,1025.58158,201108,58.58261,201108,348.46715
201107,3139.2233,201107,1225.37259,201107,240.62532,201107,309.81969
201106,2504.55512,201106,887.93785,201106,229.95501,201106,425.70007
201105,2279.59612,201105,838.73975,201105,252.37346,201105,512.55461
201104,2173.70714,201104,794.53409,201104,223.99838,201104,464.96825
201103,2910.61045,201103,655.08834,201103,220.54569,201103,391.60216
201102,2966.81831,201102,763.67625,201102,192.90217,201102,387.35858
201101,3278.18537,201101,845.31765,201101,204.49822,201101,414.65125
201012,3227.04713,201012,820.80537,201012,44.87214,201012,415.87853
201011,2936.28536,201011,777.46943,201011,25.88955,201011,340.60725
201010,2743.20403,201010,748.00167,201010,24.92273,201010,275.49793
201009,3001.3653,201009,830.52342,201009,212.45586,201009,257.2572
201008,3452.13455,201008,1112.72652,201008,121.41847,201008,209.33374
201007,3326.76804,201007,1198.84424,201007,193.34976,201007,204.26221
201006,2618.89531,201006,1045.37647,201006,199.04924,201006,261.91451
201005,2436.80097,201005,679.20952,201005,64.73212,201005,335.22684
201004,2454.98992,201004,792.48899,201004,167.75304,201004,367.72043
201003,2540.28253,201003,1018.55634,201003,181.6545,201003,301.25238
201002,2762.24678,201002,973.56788,201002,176.18092,201002,233.86717
201001,3059.27003,201001,1064.70467,201001,165.98527,201001,249.03281
200912,2997.98112,200912,1365.42709,200912,129.88199,200912,303.51007
200911,2757.58537,200911,881.50518,200911,10.13082,200911,277.28976
200910,2862.64451,200910,665.89607,200910,171.05283,200910,310.62858
200909,2677.9331,200909,1047.40375,200909,216.17131,200909,247.52811
200908,3019.95044,200908,1325.29222,200908,65.30037,200908,204.10359
200907,2904.1701,200907,1405.78761,200907,198.10086,200907,146.7506
200906,2508.66193,200906,1098.25752,200906,213.69627,200906,150.01444
200905,2319.91838,200905,1021.07527,200905,228.61749,200905,231.07837
200904,1976.77154,200904,1309.05546,200904,146.08951,200904,321.35486
200903,2425.62776,200903,1369.89986,200903,197.97666,200903,267.0494
200902,2285.03676,200902,1200.65239,200902,147.98793,200902,278.479
200901,2899.74184,200901,1149.77305,200901,160.71797,200901,426.04913
